13-skala	«13»skalo
arbejder/beskæftiger sig med noget	laboristo/okupigas sin kun io
arbejder for ham	laboras por lin
arbejder hurtigt	laboristo preste
arbejderhøjskolen	la laboristaltlernejo
arbejder i fedtsten	laboristo en grassxtono
arbejder ihærdigt med det	laboristo persisteme kun gxi
arbejder intenst på det/koncentrerer sig om det	laboristo intense sur gxin/koncentras sin je gxin
arbejder med det/beskæftiger sig med det/gør noget ved det	laboras kun gxi/okupigas sin kun gxi/faras io cxe gxin
arbejder med dårlige redskaber	laboras kun malbona iloj
arbejder med noget man bliver snavset af	laboras kun io oni igxas malpurigita de
arbejder, ministeren for offentlige	laboristo, la ministro por publika
arbejder målbevidst på det	laboristo celkonscie sur gxin
arbejder også om natten	laboristo ankaux je la nokto
arbejder om natten/har natarbejde	laboristo je la nokto/havas noktlaboro
arbejder på akkord	laboras sur akordo
arbejder på det	laboras sur gxin
arbejdsafbrydelse	«arbejds»interrompo
arbejdsanvisning	«arbejds»indiko
arbejdsbetinget	«arbejds»modale
arbejdsbetinget sygdom	«arbejds»modala malsano
arbejdsduelig	«arbejds»tauxge
arbejdsdygtig alder	«arbejds»kompetenta agxo
arbejdsformand/sjakbajs/sjakformand	«arbejds»estro/sjakbajs/«sjak»estro
Arbejdsformidlingen	Arbejdsformidlingen
arbejdsformidling	laborperejo
arbejdsfortjeneste	«arbejds»merito
arbejdsgiver	dunganto
arbejdsgiverkommune	dungantkomunumo
arbejdsgiverkontrol	dungantkontrolo
arbejdsgivernes erhvervsuddannelsesbidrag	de Arbejdsgiverne «erhvervsuddannelse»kontribuo
arbejdsgivernummer	dungantnumero
arbejdsgiverorganisation	dungantorganizo
arbejdsgiverregister	dungantregistro
arbejdsgruppe	«arbejds»grupo
arbejdsindtægt	«arbejds»enspezo
arbejdskadeforsikring	arbejdskadeforsikring
arbejdskonflikt	«arbejds»konflikto
arbejdskraft	«arbejds»forto
arbejdskraft der er tilkaldt fra danmark	«arbejds»forto kiu(j) estas alvokita de Danio
arbejdskraftmangel	«arbejdskraft»malabundo
arbejdskraftreserver	«arbejdskraft»rezervoj
arbejdskrafttilgang	«arbejdskraft»aliro
arbejdskrafttilgang, regulering af	«arbejdskraft»aliro, regul-ado de
arbejdsløs/en arbejdsledig	senlabora/* «arbejds»neokupita
arbejdsløshed	senlaboreco
arbejdsløshed, takstmæssig hjælp under	senlaboreco, tariflauxa helpo sub
arbejdsløs	senlabora
arbejdsmand	«arbejds»viro
arbejdsmarked	«arbejds»merkato
Arbejdsmarkedets Tillægspension	Arbejdsmarkedets Tillægspension
arbejdsmarkedet, tilknytning til	la «arbejds»merkato, kunligo al
arbejdsmarkedsdirektoratet	«arbejdsmarked»«direktorat»
arbejdsmarkedsforhold	«arbejds»«markedsforhold»
arbejdsmarkedsforvaltning	«arbejdsmarked»«forvaltning»
arbejdsmarkedskonsulent	«arbejdsmarked»konsilanto
arbejdsmarkedskontor	«arbejdsmarked»oficejo
arbejdsmarkedskontoret	la «arbejdsmarked»oficejo
arbejdsmarkedsparter	«arbejdsmarked»partoj
arbejdsmarkedsstatistik	«arbejdsmarked»statistiko
arbejdsmarkedsuddannelser	«arbejdsmarked»edukoj
arbejdsmiljø	«arbejds»medio
Arbejdsmiljørådet i grønland	Arbejdsmiljørådet en Grenlando
arbejdsminister	«arbejds»ministro
arbejds og miljømedicin	arbejds kaj medimedicino
arbejds og socialdirektion	arbejds kaj socialdirektantaro
arbejds og socialdirektorat	arbejds kaj social«direktorat»
arbejds og socialdirektør	arbejds kaj socialdirektoro
arbejdsområde	«arbejds»regiono
arbejdsplads/arbejdssted	laborejo/«arbejds»loko
arbejdsplads	laborejo
arbejdsprøvning	«arbejds»«prøvning»
arbejdsro	arbejdsro
arbejdsskade	«arbejds»damagxo
arbejdsskadeforsikring	«arbejds»«skadeforsikring»
arbejdsstudier	«arbejds»studoj
arbejdsstyrken	la «arbejds»forto
arbejdssøgende	«arbejds»«søgende»
arbejdstager	«arbejds»«tager»
arbejdstid	labortempo
arbejdstid, normal	labortempo, normala
arbejdstidsregler	labortempreguloj
Arbejdstilsynet	Arbejdstilsynet
Arbejdstilsynet i grønland	Arbejdstilsynet en Grenlando
arbejdstilsynets meddelelser at-meddelelser	de la «arbejds»inspekt(ad)o avizoj itavizoj
arbejdstøj	«arbejds»(vest)ajxo
arbejdsudygtighed	«arbejds»«udygtighed»
arbejdsulykke	«arbejds»akcidento
arbejdsvægring	«arbejds»rifuzo
arbejdsvæsenet	la «arbejds»estajxo
Arctic Environmental Protection Strategy	Arctic Environmental Protection Strategy
ard	ard
arealadministration	areadministracio
areal, almen benyttelse af	areo, gxenerala benyttelse de
arealanvendelse	areapliko
areal	areo
areal, dyrkning af	areo, dyrkning de
arealkrævende	arepostulanta(j)
arealopgørelse	arebilanco
arealtildeling	areasignado
arealtildelingsmyndighed	arealtildelingsmyndighed
arealudlæg	areekzekucio
Ã ... rets priser eller løbende priser	Ã ... rets lauxdas aü kurante lauxdas
argument	argumento
aritmetik	aritmetiko
arketype	arketipo
arkitekt	arkitekto
arkitektur	arkitekturo
arkivalier	arkivalie
arkiv	arkivo
arkivnøgle	arkivsxlosilo
arkiv, regerings	arkivo, de registaro
arkivvæsen	arkiv«væsen»
ark/papirark	arkeo/paperfolio
arktisk cirkel	arkta cirklo
arktisk klima	arkta klimato
arktisk klima/polarklima	arkta klimato/polusklimato
arktisk station i qeqertarsuaq/godhavn	arkte Station en Qeqertarsuaq/Godhavn
arkæolog	arkeologo
arm	brako
armbrøst	arbalesto
armbånd/armlænke	braceleto/brakcxeno
armbåndsur	braceletacida
armering	«armere»ado
armhule	akselo
armhulen	la akselo
armhuler	akseloj
armslynge/et bind eller tørklæde der holder den syge underarm	brakmasxo/* volumo aü tuko kiu(j) tenas la malsana antauxbrako
armsmerter	brakdolor(ig)as
arp	kraphauxtereco
arrangere/ordner det/lægger det til rette/tilrettelægger det	arangxi/ordigas gxi/metas gxi gxustapozicie/arangxas gxin
arrangerer	arangxas
arsenik	arseniko
Ã ... rskvote	Ã ... rskvote
Ã ... rsoversigter fra grønlands Statistik	Ã ... rsoversigter de Grønlands Statistik
Ã ... rsværk	Ã ... rsværk
arterie	arterio
artikel	artikolo
artikolation	artikolation
artikulere	artikulacii
art	speco
arveafgiftspligt	anagal«afgiftspligt»
arveanlæg	anagalejo
arvelig	herede
arveligt belastet	herede belastet
arvelov	anagallegxo
arvemasse	anagalamaso
arver det	heredas gxi
arveret	heredjuro
arver noget/arver	heredas io/heredas
arvesynd	prapeko
arv	heredajxo
arving	heredanto
A/s, aktieselskab	A/S, akcia kompanio
asbestose	asbestozo
A/s boligselskabet iNI	A/S la logxejsocieto INI
ASEAN	Asean
asfalt	asfalto
ASIAQ	Asiaq
A-Skat	A-Skat
askebæger/askeskuffe	cindrujo/cindrsxovelilo
askebæger	cindrujo
aske	cindro
aspekter	aspektoj
asperger	asperger
aspiranttjeneste	asesorservo
assertion	assertion
assertiv	assertiv
assimilation	asimil-(aci)o
assistance	asist-ado
assistent &	helpisto &
association	asocio
Association of South East Asian Nations	Association of South East Asian Nations
associering	asoc-ado
associeringsaftale	«associering»interkonsento
assurance	assurance
assurancesvig	«assurance»perfidajxo
astma	astmo
astronaut/kosmonaut	astronauxto/kosmonauxto
astronom	astronomo
astronomisk station	astronoma stacio
asystoli	asystoli
at betale skat/afgift	* pagi imposto/imposto
at betale skat	* pagi imposto
at blive skadet	* igxi damagxita
at få hun/han betalt noget	* ricevi sxi/li pagita io
at have smerte	* havi doloro
atlanterhav, nordvestlige	atlanterhav, nordokcidenta
atlantisk lomvie	atlantika urio
atlas	atlaso
atmosfære/luft	atmosfero/aero
atmosfærisk luft	atmosfera aero
atom	atomo
atomenergifællesskab, det europæiske	«atomenergi»kuneco, la euxropa
atomkraft	atomenergio
atomkraftværk	atomcentralo
atomvåben	atomarmilo
ATP	ATP
at sige fra	* diri de
atten	dekok
attest	atesto
attestation	atest(aci)o
attraktion	allogajxo
attraktiv	attraktiv
attraktive vilkår	attraktiv kondicxo
Attu	Attu
atypisk	atypisk
audiolog	auxdilogo
audiologi	auxdi-logio
auditiv	auxda
august	auxgusto
auktion	auxkcio
Austmannadalen	Austmannadalen
autisme	auxtismo
autodidaktisk	auxtdidaktike
autoforhandler	auxt«forhandler»
automat	auxtomato
automatisk	auxtomate
automatspilsafgift	automatspilsafgift
autonomi	auxtonomeco
autorisation	permesilo
autoriserede virksomheder	auxtor(iz)igita entreprenoj
autoritativ	auxtoritata
autoritet	auxtoritato
autoritær	auxtoritata
autoværn	auxtprotekto
avalist	avalist
avance	avanco
avancementstilling	«avancement»pozicio
av !/det gør ondt !	av !/det faras malbona !
aversion	averso
avertering	avertering
avisabonnement/et abonnement på et blad	gazetabono/* abono sur * folio
avis/blad	gazeto/folio
avlingstid	«avling»tempo
avlingstidsattest	avlingstidsattest
bacheloreksamen	bacxelorekzameno
back	back
bacon	bacon
badeanstalt/svømmehal/svømmebassin/swimmingpo	banejo/nagxhalo/nagxbaseno/swimmingpo
badekar/baderum/badeværelse	bankuvo/banspaco/bancxambro
badminton	badmintono
badmintonbold/fjerbold	badmintonpilko/plumpilko
badmintonspiller	badmintonludanto
bagage	bagagxo
bagben	malantauxgambo
bagdel/ende/rumpe	postajxo/fino/rumpe
bagdel	postajxo
bagdel/rumpe/ende	postajxo/rumpe/fino
bagefter	poste
bagende/agterende	malantauxfino/«agter»fino
bagepulver	bakpulvoro
bager/bager brød	bakisto/bakisto pano
bager	bakisto
bager en kage/bager kager	bakas * kuko/bakisto kage
bageri/bageovn	bakado/bakforno
bageri	bakado
baggrund/bagbeklædning	fono/malantauxpanelo
baglalle	malantauxbalbuti
bagland	malantauxuj
baglæns	malantauxen
bagmand	malantauxulo
bagsiden af et skind	la dorsflanko de * hauxto
bagtaler ham	kalumnias lin
bagtaler ham/spotter ham	kalumnias lin/mokas lin
bagtil	bagtil
bagud	bagud
bagudforskydning af ledskiven	«bagud»«forskydning» de la nauxzdisko
bagvendt	bagvendt
bagværk	pastajxoj
bajer/pilsner	biero/pilsenbiero
bajer, øl	biero, biero
bakkenbarter	vangoharoj
bakke	pelvo
bakker/bevæger sig baglæns	malantauxeniras/movas sin malantauxen
bakket terræn	bakket tereno
bakterieart	bakterispeco
bakterie	bakterio
bakteriebelægning	bakteritegajxo
bakteriebelægning i tanden	bakteritegajxo en la dento
balance	balanco
balance mellem belastninger og ressourcer	balanco inter strenoj kaj ressource
balancestang	balancstango
balde/endebalde	balde/fin«balde»
balje	tineto
balkon	balkono
ballast	balasto
ballet	la balo
ballon	balono
balsamerer det/imprægnerer det/konserverer den	balsamas gxi/impregnas gxi/konservas gxi
bambus	bambuo
bamse	ursoo
banan	banano
bandage	bandagxo
bandagist	bandagist
bandeord	grupvorto
bander	malbenas
bangebuks	malkuragxulo
banjo	bangxo
bank	banko
bankbog	«bank»libro
bankebyg	malvalhordeo
banker det for at få trannen ud	frapas gxi por * ricevi la fisxoleo eksteren
banker det	frapas gxi
banker det rent	frapas gxi pure
banker noget	frapas io
banker på	frapas *
banker sneen af sit tøj	frapas la negxo de sia (vest)ajxo
bankgaranti	«bank»garantio
bankgæld	«bank»sxuldo
banklån/pengeinstitutlån	«bank»prunto per «pengeinstitut»prunto
bankospil	bankoludludo
banksætningsplads	banksætningsplads
baptist	baptisto
barak	barako
barberblad	razklingo
barberer sig	razas sin
barbermaskine/elshaver	razilo/elshaver
barber	razisto
bardehval	balenoptero
bardun	nurlanugo
bare for sjov/til ingen nytte	nur por amuzo/al neniu utilo
bare .../gid .../jeg ville ønske at ...	nur .../gid .../jeg voli deziri ke ...
Barents regionen	Barents la regiono
bare vent og se ! det vil vise sig	nur atendu kaj vidi ! gxi volas montri sin
barium	bario
barmhjertighed	kompato
barmhjertighed/medlidenhed	kompato/kompato
barmhjertig	kompateme
barndom	infaneco
barnebarn	nepo
barnehjælper	infanhelpulo
barnekæreste	infanamat(in)o
barnepleje	infanflego
barnets tarv	de la infano tarv
barn	infano
barnløs	seninfana
barometer	barometro
barrikade	barikado
barselperiode	puerperecperiodo
barsel	puerpereco
barselsdagpenge	puerperecsenlabortagmonoj
barselsfærdsbidrag	barselsfærdsbidrag
barselshvile	puerperecripozo
barselsorlov	puerperecforpermeso
barselsperiode	puerperecperiodo
barselsstuer	puerpereclogxcxambroj
basalt	bazalto
basal tryghed	baza sekureco
basar	bazaro
base	bazo
bas/førerhund	baso/gvidanthundo
Basic trust	Basic trusto
basishavnefunktion for olie og gasindustri	«basishavn»funkcio por oleo kaj gasindustrio
basislinie	bazlinio
basispræmie	bazpremio
basisuddannelse	bazeduko
basisårsprøve	baz«årsprøve»
baskerhue	bereto
basker med vingerne	baske kun la flugiloj
basker med vingerne hen over vandet	baske kun la flugiloj trans la akvo
basker rundt for at beskytte sin rede	basker ronde por * protekti sia nesto
basstemme/en dyb stemme	baso/* profunda vocxo
batteri	batterio
batteri, pacemaker	batterio, kora stimulatoro
bavian	paviano
bearbejdningsfase	adaptfazo
Beboelsesfrekvenser	Beboelsesfrekvenser
beboelsesrum	logxlokspaco
beboelsestæthed	logxlokintenso
beboer	domano
beboerhus	domandomo
beboerrepræsentant	domandelegito
bebrejder ham noget/bebrejder ham at ...	riprocxas lin io/riprocxas lin ke ...
bebrejder ham noget/irettesætter ham	riprocxas lin io/irettesætte lin
bebrejder ham noget/kritiserer ham	riprocxas lin io/kritikas lin
bebrejder ham noget	riprocxas lin io
bebyggeligt areal	prikonstru(ec)a areo
bebyggelse	logxloko
bEC-kode	«BEC»kodo
bedding/bådeværft/værft	bedding/boatsxipfarejo/sxipfarejo
beder/beder om noget	petas/petas je io
beder fadervor	petas patroniao
beder for ham	petas por lin
beder ham om at gøre sig en tjeneste	petas lin je * fari sin * servo
beder ham om at hjælpe sig	petas lin je * helpi sin
beder ham om at komme/tilkalder ham	petas lin je * veni/alvokas lin
beder ham om noget	petas lin je io
beder om det/søger om det/ansøger om det	petas je gxin/celilo je gxin/aspiranto je gxin
beder om et lån/vil låne noget	petas je * prunto/volas prunti io
beder om hjælp	petas je helpo
beder om noget på hans vegne	petas je io sur lia(j) koncernoj
bedrageri	trompajxo
bedring af en sygdom	plibonigxo de * malsano
bedstefar	avo
bedstefar/bedstefader	avo/plej bonpatro
bedstefar/hans/hendes bedstefar	avo/lia(j)/sxia(j) avo
bedstemor	avino
bedstemor/bedstemoder	avino/plej bonpatrino
bedste ven/veninde	plej bona amiko/veninde
beduin	bedueno
bedækning	pr«dækning»
bedømmelse	prijugxo
bedømmelseskommission	prijugxkomisio
bedømmelsesudvalg	prijugxkomisiono
bedøvelse, fuld	narkotikado, plena
bedøvelse, lokal	narkotikado, lokala
bedøvelse	narkotikado
bedøvelsesmiddel	anestezilo
befaler ham at .../giver ham en ordre/kommanderer ham til at ...	ordonas lin ke .../giver lin * ordono/komandas lin al ke ...
befaling	komando
befaling/ordre/kommando	komando/ordono/komando
befamler hende	prpalpas sxin
befinder sig et godt stykke mod syd	trovigxas sin suficxe kontraux sudo
befinder sig et sted mellem havbunden og havoverfladen	trovigxas sin * loko inter la marfundo kaj la marsurfaco
befinder sig højt oppe	trovigxas sin alte supre
befinder sig i en farlig situation	trovigxas sin en * dangxera situacio
befinder sig i en usikker situation	trovigxas sin en * malcerta situacio
befinder sig i mørke	trovigxas sin en malhelo
befinder sig lige foran ham/det/stiller sig foran ham/det	trovigxas sin gxuste antaux lin/gxin/estingas sin antaux lin/gxin
befinder sig nær ved det/er tæt på det	trovigxas sin proksime de gxi/estas proksime de gxi
befinder sig ved foden af det/er kommet neden for det	trovigxas sin cxe la piedo de gxi/estas venis malsupre por gxin
befolkningens bevægelser	de la logxantaro adukcioj
befolkning	logxantaro
befolkningsflytninger	logxantartransmovadoj
befolkningsforhold	«befolknings»cirkonstanco
befolkningsprognose	«befolknings»prognozo
befolkningsudvikling	«befolknings»evoluo
befordringsgodtgørelse	«befordring»kompenso
befordringsklasse	«befordring»klaso
befordringsudgifter	befordringsudgift
befrugtning	fekundigxo
befrugtningshindrende middel	fekundigx«hindrende» rimedo
befuldmægtigede	befuldmægtiget
befuldmægtiget	befuldmægtiget
beføjelse	rajtigo
begavelse	naturdoto
begivenhed	okazajxo
begravelse/bisættelse	funebra ceremonio/bisættelse
begravelse	funebra ceremonio
begravelsesfølge	funebra ceremonisekvo
begravelseshjælp	funebra ceremonihelpo
begraver ham	enterigas lin
begreb	koncepto
begrundelse	kialigo
begrænser det/rationerer det	limigas gxi/rationere gxin
begrænset kaution	limigita garantimono
begrænset skattepligt	limigita impostdevo
begrænsning	limigo
begunstige	favori
begunstiget opsparing	favorita sxparo
begyndelse/indledning/indskud	komenco/enkonduko/deponajxo
begyndelse/indledning	komenco/enkonduko
begyndelsesløn	komencsalajro
begyndene abort	begyndene aborto
begyndene hul	begyndene kava
begynder at græde/brister i gråd	komencas * plori/krevas en ploro
begynder at gøre sig klar til at ...	komencas * fari sin klara al ke ...
begynder at hælde/får slagside	komencas * klini/ricevas flankklinigxo
begynder at koge	komencas * bol(ig)i
begynder at lege	komencas * ludi
begynder at ro rask til	komencas * remi sane al
begynder	komencanto
begynder på det/sender ham/det af sted	komencas sur gxin/sendas lin/gxin *
begynder/starter	komencanto/startilo
begær	deziro
begæring	peto
begå	realigi
begår en forbrydelse	realigas * krimo
begår en række fejltagelser/er uheldig	realigas * vico eraroj/estas malbonsxanca
begår et mord	realigas * murdo
begår selvmord/tager sit eget liv	realigas suicido/prenas sia propra vivo
behandlende ...	pritraktanta(j) ...
behandlende	pritraktanta(j)
behandler det/arbejder med det	pritraktan)o gxi/laboras kun gxi
behandler det forsigtigt fordi det er skrøbeligt	pritraktas gxi singarde cxar gxi estas rompigxema
behandler det skødesløst/er letsindig med det	pritraktan)o gxi malzorga/estas malserioza kun gxi
behandler ham dårligt/er ond mod/ved ham	pritraktas lin malbona/estas malbona kontraux/cxe lin
behandler ham for en sygdom	pritraktas lin por * malsano
behandler ham godt/er god ved ham	pritraktas lin bona/estas bona cxe lin
behandler ham groft så han kommer til at græde	pritraktas lin krude tiel ke li venas al * plori
